scenario,scenario_type,seed,total_arrivals,served_customers,served_within_horizon,abandoned_customers,avg_wait_time,avg_wait_served,avg_wait_abandoned,avg_system_time,avg_queue_length,max_queue_length,utilization_percent,throughput_per_hour,abandonment_percent,num_kiosks,mean_interarrival_time,mean_service_time,patience_time,duration,reactive_threshold,iteration
Beban Sangat Rendah,base,80071,42,42,42,0,0.0,0.0,0.0,3.248354553557855,0.0,0,7.105775585907809,5.25,0.0,4,10.0,3.0,20.0,480,4,72
Beban Sangat Rendah,base,80072,52,52,52,0,0.0,0.0,0.0,3.100954378551561,0.0,0,8.398418108577149,6.5,0.0,4,10.0,3.0,20.0,480,4,73
Beban Sangat Rendah,base,80073,44,44,43,0,0.0,0.0,0.0,2.8456364372967813,0.0,0,6.375801384854511,5.375,0.0,4,10.0,3.0,20.0,480,4,74
Beban Sangat Rendah,base,80074,59,59,59,0,0.004621940345475458,0.004621940345475458,0.0,2.9069807834345816,0.000568113500798025,1,8.918706861575895,7.375,0.0,4,10.0,3.0,20.0,480,4,75
Beban Sangat Rendah,base,80075,56,56,56,0,0.0,0.0,0.0,2.815671492158359,0.0,0,8.212375185461873,7.0,0.0,4,10.0,3.0,20.0,480,4,76
Beban Sangat Rendah,base,80076,65,65,65,0,0.0,0.0,0.0,3.180842239156641,0.0,0,10.768476330478219,8.125,0.0,4,10.0,3.0,20.0,480,4,77
Beban Sangat Rendah,base,80077,52,52,52,0,0.0,0.0,0.0,3.132916783382636,0.0,0,8.48498295499464,6.5,0.0,4,10.0,3.0,20.0,480,4,78
Beban Sangat Rendah,base,80078,55,55,55,0,0.0,0.0,0.0,2.9279559003127056,0.0,0,8.387373672770774,6.875,0.0,4,10.0,3.0,20.0,480,4,79
Beban Sangat Rendah,base,80079,47,47,47,0,0.0,0.0,0.0,2.7938962911798035,0.0,0,6.839225296117229,5.875,0.0,4,10.0,3.0,20.0,480,4,80
Beban Sangat Rendah,base,80080,50,50,50,0,0.0,0.0,0.0,3.1604793669689766,0.0,0,8.23041501814837,6.25,0.0,4,10.0,3.0,20.0,480,4,81
Beban Sangat Rendah,base,80081,39,39,39,0,0.0,0.0,0.0,2.9568348076400057,0.0,0,6.00607070301875,4.875,0.0,4,10.0,3.0,20.0,480,4,82
Beban Sangat Rendah,base,80082,51,51,51,0,0.0,0.0,0.0,3.0300216432987646,0.0,0,8.048494990012346,6.375,0.0,4,10.0,3.0,20.0,480,4,83
Beban Sangat Rendah,base,80083,52,52,52,0,0.0,0.0,0.0,2.9958576317313206,0.0,0,8.113781085938996,6.5,0.0,4,10.0,3.0,20.0,480,4,84
Beban Sangat Rendah,base,80084,62,62,62,0,0.0,0.0,0.0,2.8820975542964486,0.0,0,9.306773352415613,7.75,0.0,4,10.0,3.0,20.0,480,4,85
Beban Sangat Rendah,base,80085,44,44,44,0,0.0,0.0,0.0,3.029247625439625,0.0,0,6.942025808299146,5.5,0.0,4,10.0,3.0,20.0,480,4,86
Beban Sangat Rendah,base,80086,39,39,39,0,0.0,0.0,0.0,3.0007772790670506,0.0,0,6.095328848104945,4.875,0.0,4,10.0,3.0,20.0,480,4,87
Beban Sangat Rendah,base,80087,48,48,48,0,0.0,0.0,0.0,2.9261631597795943,0.0,0,7.315407899448983,6.0,0.0,4,10.0,3.0,20.0,480,4,88
Beban Sangat Rendah,base,80088,42,42,42,0,0.0,0.0,0.0,3.108567056399527,0.0,0,6.799990435873964,5.25,0.0,4,10.0,3.0,20.0,480,4,89
Beban Sangat Rendah,base,80089,57,57,57,0,0.0,0.0,0.0,2.861952846082423,0.0,0,8.496422511807197,7.125,0.0,4,10.0,3.0,20.0,480,4,90
